id,Russian,English,orthography,transcription,prs,form2,form3,pos,additional_forms,kk,jena200,gld110,def_RU,context
438,ЖЕВАТЬ,CHEW (V),чӀамеду,čʼandegu,чӀанда эгу (чӀандегу),чӀами,чӀама,v,,172,0,0,"Разрушать зубами, периодически открывая и закрывая челюсти; делается по отношению к еде, чтобы смягчить и разделить её на части действием слюны перед глотанием. (Concepticon)",1. Хлеб нужно хорошо разжёвывать. 2. Перед глотанием еду нужно жевать.
439,ГЛОТАТЬ,SWALLOW (V),миНкӀкӀведу,-ĩkʼːudegu,миНкӀкӀуда эгу (миНкӀкӀудегу),миНкӀкӀу,миНкӀкӀва,v,"вуНкӀкӀу, йиНкӀкӀу, миНкӀкӀу, минкӀкӀу, ниНкӀкӀу",178,0,0,"Приводить в действие рефлекс, передающий пищу изо рта в глотку.","1. Мальчик проглотил воду. 2. У меня болит горло, мне больно глотать."
440,ГРЫЗТЬ,GNAW (V),къоледу,qʼоrdegu,къорда эгу (къордегу),къоли,къола,v,,173,0,0,Обработать материал своими зубами.,1. Белка грызёт орехи. 2. Собака грызёт кость.
441,ВАРИТЬ,"BOIL (TR, FOOD)",миНлъаледу,-ĩɬaldegu,миНлъалда эгу (миНлъалдегу),миНлъали,миНлъала,v,"вуНлъали йиНлъали, миНлъали, миНлъали, ниНлъали",133,0,0,Подвергать пищу термической обработке путём длительного погружения в горячую воду.,1. Картошку нужно варить. 2. Она сварила куриный бульон.
442,ВАРИТЬСЯ,"BOIL (INTR, OF FOOD)",миНлъеду,-ĩɬidegu,миНлъида эгу (миНлъидегу),миНлъи,миНлъаби,v,"вуНлъи, йиНлъи, миНлъи, миНлъи, ниНлъи",131,0,0,Перейти в готовое состояние в результате варки (о еде).,1. Мясо хорошо сварилось. 2. Бульон хорошо сварился.
443,КИПЯТИТЬ,"BOIL (TR, OF WATER)",уНгьугьаледу,ũhuhaldegu,уНгьугьалда эгу (уНгьугьалдегу),уНгьугьали,уНгьугьала,v,,132,0,0,"Нагревать воду до температуры, при которой она переходит в газообразное состояние.","1. Эту воду нужно кипятить, чтобы пить. 2. Чтобы сделать чай, воду кипятят."
444,КИПЕТЬ,"BOIL (INTR, OF WATER)",уНгьугьеду,ũhuhudegu,уНгьугьуда эгу (уНгьугьудегу),уНгьугьу,уНгьугьуби,v,,130,0,0,"(О жидкости) Пребывать в температуре, при которой вещество переходит в газообразное состояние. (Concepticon)","1. Бульон кипит. 2. Молоко кипит, убери его с плиты."
445,ЖАРИТЬ,"FRY (TR, FOOD)",бежаледу,-ežaldegu,бежалда эгу (бежалдегу),бежали,бежала,v,"бежали, режали",135,0,0,"Готовить еду в горячем жире (Concepticon), например, в масле",Он пожарил мясо на сковородке.
446,ПЕЧЬ (ХЛЕБ),"BAKE (TR, OF BREAD)",гъани бежаледу,ʁani bežaldegu,гъани бежалда эгу (гъани бежалдегу),гъани бежали,гъани бежала,v,"вожалдегу, йежалдегу, бежалдегу, бежалдегу, режалдегу",134,0,0,Готовить хлеб в печи.,Мама испекла хлеб.
447,КРЫШКА (КОТЛА),LID (OF CAULDRON),алъир,aɬir,,алъирал,алъирди,n,,359,0,0,Крышка кастрюли.,"Когда вода закипела, я снял крышку с кастрюли."
448,КОТЕЛ (МЕТАЛЛИЧЕСКИЙ),CAULDRON (METAL),хьеги,xegi,,хьегил,хьегяби,n,хьегини лъин эгу - вода в котле,358,0,0,"Стандартный предмет кухонной утвари, используемый для варки пищи и кипячения воды.",Я поставил кастрюлю на огонь.
449,ГОРШОК (ГЛИНЯНЫЙ),CLAY POT,хъаба,qaba,,хъабал,хъабабади,n,,0,0,0,"Глубокое вместилище для еды, сделанное из глины. (Concepticon, изм.)",В глиняный горшок наливают молоко.
449,ГОРШОК (ГЛИНЯНЫЙ),CLAY POT,гӀорту,ʕоrtu,,гӀортил,гӀортаби,n,щюв гӀортини эгу - молоко в кувшине,0,0,0,"Глубокое вместилище для еды, сделанное из глины. (Concepticon, изм.)",В глиняный горшок наливают молоко.
450,МИСКА,BOWL,цӀантӀур,cʼantʼur,,цӀантӀурал,цӀантӀурди,n,чурпа цӀцӀантӀурени эгу - суп в миске,0,0,0,"Сосуд примерно полусферической формы, используемый для подачи еды. (Concepticon, изм.)",Бульон наливают в миску.
451,ТАРЕЛКА,PLATE,тӀибитӀуб цӀантӀур,tʼibitʼub cʼantʼur,,тӀибитӀуб цӀантӀурал,тӀибитӀуре цӀантӀурди,n,,0,0,0,"Плоское блюдо, на котором подаётся еда.",Мясо кладут на тарелку.
452,ПОСУДА,DISHES,цӀантӀур-гӀорту,cʼantʼur-ʕоrtu,,цӀантӀур-гӀортулъил,-,n,цӀантӀур-гӀорту багьа (ед.ч.) - возьми посуду,357,0,0,Собирательное слово для предметов посуды.,Помой посуду.
453,КУВШИН ДЛЯ НОШЕНИЯ ВОДЫ,PITCHER FOR CARRYING WATER,гӀанза,ʕanza,,гӀанзул,гӀанзиби,n,лъим гӀанзуни эгу - вода в кувшине,360,0,0,"Традиционный кувшин, в котором женщины носят воду из источника.",Женщины ходят за водой с кувшинами.
454,ЛОЖКА,SPOON,бегьун,behun,,бегьунал,бегьунди,n,,321,0,0,"Предмет посуды для употребления пищи, маленькая мисочка с длинной прямой ручкой. (Concepticon)",Суп едят ложкой.
455,ВИЛКА,FORK,хӀанкӀва,ħankʼʷa,,хӀанкӀул,хӀанкӀуби,n,,322,0,0,"Предмет посуды с длинными острыми шипами на конце, используется для того, чтобы переносить в рот твёрдую пищу. (Concepticon)",Хинкал едят вилкой.
456,ПОЛОВНИК,LADLE,кой,kоj,,койл,"койди, кобди",n,,319,0,0,"Большая, глубокая ложка, которой разливают суп и иную жидкую пищу. (Concepticon)",Я положил суп в миску половником.
457,ШУМОВКА,SKIMMER,хинкӀяху,χinkʼʲaχu,,хинкӀяхул,хинкӀяхуди,n,,320,0,0,"Ложка с дырками, которой достают хинкал из жидкости, в которой он варится.",Хинкал достают шумовкой.
458,МЕРКА ДЛЯ МУКИ (СРЕДНЯЯ),FLOUR MEASURE,ссахӀ,sːaħ,,ссахӀлъил,ссахӀди,n,,361,0,0,"Традиционный сосуд, используемый в качестве мерки для сыпучих веществ.",По окончании Рамазан-месяца набирают мерки зерна для раздачи.
459,СИТО,SIEVE (N),сусукӀ,susukʼ,,сусукӀул,сусукӀиби,n,хъолур сусукӀуни эгу - мука в сите,363,0,0,Посуда для просеивания сыпучих веществ или процеживания жидких.,1. Мама просеяла муку ситом. 2. Мама процедила бульон ситом.
460,ЧИСТИТЬ (ФРУКТЫ),"PEEL (TR, OF FRUIT)",цӀинкӀигьеду,cʼinkʼihidegu,цӀинкӀигьида эгу (цӀинкӀигьидегу),цӀинкӀигьи,цӀинкӀигьа,v,,0,0,0,Удалять кожу с фруктов или овощей. (Concepticon),Я почистил картошку.
461,ПРОСЕИВАТЬ,SIEVE (V),сусукӀеду,susukʼudegu,сусукӀуда эгу (сусукӀудегу),сусукӀу,сусукӀа,v,,124,0,0,"Пропускать сыпучее вещество через сито, чтобы отделить крупные частицы отмелких.",Муку надо просеивать.
462,ПРОЦЕЖИВАТЬ,STRAIN,муНцӀеду,-ũcʼidegu,муНцӀида эгу (муНцӀидегу),муНцӀи,муНцӀва,v,"вуНцӀу/вуНцӀи, виНцӀу/виНцӀи, муНцӀу/муНцӀи, муНцӀу/муНцӀи, нуНцӀу/нуНцӀи; повел. вуНцӀа, йиНцӀва, муНцӀва, муНцӀва, нуНцӀва",0,0,0,"Выделять твёрдые или густые частицы из жидкости, пропуская её через сито или ткань.",1. Она процедила бульон через ткань. 2. Мы всегда процеживаем молоко после дойки.
463,СМЕШИВАТЬ,MIX (TR),гьабажоледу,habažоldegu,гьабажолда эгу (гьабажолдегу),гьабажоли,гьабажола,v,,113,0,0,Соединить вместе два сыпучих или жидких вещества.,1. Я смешал рис с зерном. 2. Я смешал молоко и сливки.
464,СМЕШИВАТЬСЯ,MIX (INTR),гьабажеду,habažudegu,гьабажуда эгу (гьабажудегу),гьабажу,гьабажуби,v,,112,0,0,Соединиться с другим сыпучим или жидким веществом.,"Молоко вылилось и смешалось с грязью, его нельзя пить."
465,РАЗМЕШИВАТЬ,STIR,абаталеду,abataldegu,абаталда эгу (абаталдегу),абатали,абатала,v,,0,0,0,Смешивать два вещества круговыми движениями ложки или иного предмета.,Размешай суп.
466,ХЛЕБ,BREAD,гъани,ʁani,,гъанил,гъане,n,,248,0,0,"Распространённая еда, которую делают в основном из муки, воды и дрожжей путём замешивания и запекания текста. (Concepticon)",1. Я ем хлеб с сыром. 2. У нас в деревне пекут круглый хлеб.
467,ТОЛОКНО,FRIED GRAIN FLOUR,дада,dada,,дадал,-,n,,245,0,0,"Мука из жареного зерна. Из неё делают ритуальное блюдо (муку варят, выкладывают на блюдо и делают выемку).",Толокно делают из жареного зерна.
468,СОЛОД,MALT,иНгьи,ĩhi,,иНгьил,-,n,,246,0,0,"Намоченные и пророщенные семена злаков, чаще всего ячменя. (Wiki)",1. Солод делают из мокрых злаков. 2. Из солода делают бузу.
469,ЖАРЕНОЕ ЗЕРНО,FRIED GRAIN,кьиму,ʟʼimu,,кьимул,-,n,,247,0,0,"Зерно, пожаренное на сковороде.",1. Толокно делают из жареного зерна. 2. Жареное зерно вкусное.
470,ЧУДУ,CHUDU,къаркъа,qʼarqʼa,,къаркъул,къаркъиби,n,,249,0,0,Традиционный тип выпечки: закрытый пирог с начинкой.,"1. Чуду из сыра бывают вкусные. 2. Чуду делают из муки, воды, яиц и сыра."
471,ТЕСТО,DOUGH,гьатӀи,hatʼi,,гьатӀил,гьатӀибади,n,,244,0,0,"Смесь муки и воды, используемая для приготовления выпечки. (Concepticon)",Мама приготовила тесто из муки и воды.
472,МЕСИТЬ (ТЕСТО),KNEAD,буциледу,bucidegu,буцида эгу (буцидегу),буцили,буцила,v,"также лепить (например, куклу) вуцили, йуцили, буцили, буцили, руцили",137,0,0,Много раз мять тесто руками. (Concepticon),"Прежде чем печь хлеб, тесто надо замесить."
473,МУКА,FLOUR,хъолур,qоlur,,хъолурлъил,-,n,,243,0,0,Мелко перемолотое зерно. (Concepticon),1. Мука — молотое зерно. 2. Из муки и воды делают тесто.
474,МОЛОТЬ (МУКУ),GRIND (FLOUR),хъоледу,qоrdegu,хъорда эгу (хъордегу),хъоли,хъола,v,,125,225,0,Производить муку путём размельчения зерна.,"1. Чтобы сделать муку, надо перемолоть зерно. 2. На мельнице мелят муку."
475,МЕЛЬНИЦА,MILL,гьобу,hоbu,,гьобул,гьобубади,n,вудив гьольа эгу - он на мельнице,390,0,0,"Механизм и соответствующая постройка для перемалывания зерна в муку. На Кавказе, как правило, водяная мельница.",На мельнице мелят муку.
476,МЯСО,MEAT,рикьи,riʟʼi,,рикьил,-,n,,256,101,54,"Мясо как пищевой продукт. Отличать от наименований конкретных видов мяса (из разных частей туши, от разных животных и т. п.) и от маркированных слов вроде ‘плоть’.  (GLD)",1. Это мясо какого животного? (GLD) 2. Он достал/принес много мяса. (GLD) 3. Он съел все мясо и весь жир. (GLD)
477,КОЛБАСА,SAUSAGE,бецӀуб бакьи,becʼub baʟʼi,,бецӀуб бакьилъил,рецӀуре бакье,n,,0,0,0,"Кусок кишки животного, заполненный мясом и готовый к употреблению.",1. Колбасу делают из кишки и мяса. 2. Колбасу жарят.
478,БУЛЬОН,BROTH,гьагӀу,haʕu,,гьагӀул,гьагӀубади,n,,258,0,0,"Вода с мясным содержанием, остающаяся после варки мяса.","1. Когда мясо сварили, остаётся бульон. 2. После хинкала едят бульон."
479,ХИНКАЛ,KHINKAL,хинкӀя,χinkʼʲa,,хинкӀул,хинкӀе,n,,259,0,0,Традиционное блюдо из теста.,"1. Традиционные дагестанские блюда — хинкал, чуду, курзе. 2. Чабаны всегда готовят хинкал."
480,ВИНОГРАД,GRAPE,цӀебила,cʼebila,,цӀебилал,-,n,,218,0,0,"Маленький, круглый съедобный плод с гладкой кожей, обычно фиолетового, красного или зелёного цвета, который растёт гроздьями на лозах. (Concepticon)",1. На равнине выращивают виноград. 2. Из винограда делают вино.
481,ОРЕХ ЛЕСНОЙ,HAZELNUT,парсцӀулакьу,parscʼulaʟʼu,,парсцӀулакьулъил,парсцӀулакьуди,n,,0,0,0,Орех любого кустарника рода Лещина (Corylus).,"1. На равнине много ореховых деревьев. 2. В горах растут грецкие орехи, на равнине — лесные."
482,ОРЕХ ГРЕЦКИЙ,WALNUT,цӀулакьу,cʼulaʟʼu,,"цӀулакьулъил, цӀулакьул",цӀулакьуди,n,,226,0,0,Орех дерева Juglans regia.,"1. В горах растут грецкие орехи, на равнине — лесные. 2. Хинкал делают с грецкими орехами."
483,УРБЕЧ,URBECH,урба,urba,,урбадал,урбабади,n,,0,0,0,"Традиционное сладкое кушанье, масса из размельчённых семян или орехов.",В кашу кладут урбеч.
484,ЖИР (КУЛИНАРНЫЙ ПРОДУКТ),GREASE,гьани,hani,,гьанил,-,n,,257,43,25,"Общее слово для животного жира как продукта, используемого в хозяйстве. Отличать от ‘растительного жира’, ‘масла’ (в т. ч. жидкого) там, где в языке есть соотв. дифференциация, а также от нутряного жира и специально обработанного или приготовленного жира. (GLD)",1. Мясо и жир можно есть. (GLD) 2. На дно сковородки мажут жир.
485,СЫЧУГ,MAW,цӀолиб,cʼоlib,,цӀолибул,цӀолибди,n,,62,0,0,Отдел желудка жвачных животных. Используется в приготовлении сыра как загуститель.,В сыр кладут сычуг.
486,ПОТРОХА,GIBLETS,бакӀвалкӀачи,bakʼʷalkʼači,,бакӀвалкӀачилъил,бакӀвалкӀачибади,n,,0,0,0,"Внутренности животного, используемые как пищевой продукт.",1. У овцы вытащили внутренности. 2. Потроха жарят на сковородке.
487,СОЛЬ,SALT,цӀцӀан,cʼːan,,цӀцӀанлъил,цӀцӀанди (сорта),n,,261,132,104,"Соль как натуральный продукт. Следует отличать от покупной соли, а также от названий мест, содержащих соль (‘соляное озеро’, ‘лизунец’ и т. п.). (GLD)",1. Людям нужно есть соль. (GLD) 2. Этот ребенок хочет соли. (GLD) 3. Вот белая соль. (GLD)
488,МЁД,HONEY,гьунцӀцӀи,huncʼːi,,гьунцӀцӀал,гьунцӀцӀибади (сорта),n,,263,0,0,"Сладкое, текучее вещество, которое делают пчёла из нектара. (Concepticon)","1. Пчёлы дают мёд. 2. Мёд сладкий. 3. Мёд можно есть, пчелиный воск — нет."
489,САХАР,SUGAR,чакар,čakar,,чакарил,чакарди,n,,0,0,0,"Сладкое сыпучее или кристаллическое вещество, используемое для улучшения вкуса продуктов.",1. Я выпил чай с сахаром. 2. Сахар сладкий.
490,МОЛОКО,MILK (N.),щю,šːʲu,,щюл,-,n,,250,0,0,"Белая жидкость, производимая молочными желёзами для кормления детёнышей млекопитающих. При наличии различных слов вводить слово для коровьего молока.",1. Корова даёт молоко. 2. Из молока делают сыр.
491,ДОИТЬ,MILK (V.),кьаледу,ʟʼardegu,кьарда эгу (кьардегу),кьали,кьала,v,,119,0,0,Получать молоко от млекопитающего (в особенности коровы). (Concepticon),"1. Мама подоила корову. 2. Чтобы получить молоко, доят коров."
492,СЫР,CHEESE,чӀантӀур,čʼantʼur,,чӀантӀурал,чӀантӀурди,n,,255,0,0,Твёрдый продукт из свернувшегося молока.,1. Сыр делают из молока. 2. В сыр кладут соль.
493,СЫВОРОТКА,WHEY,гӀерцӀцӀи,ʕercʼːi,,гӀерцӀцӀил,-,n,,251,0,0,"Жидкость, которая остаётся после сворачивания и процеживания молока. Побочный продукт сыроварения.","Когда делают сыр, остаётся сыворотка."
494,МОЛОЗИВО,FOREMILK,цӀцӀери,cʼːeri,,цӀцӀерил,-,n,,252,0,0,"Секрет молочной железы млекопитающих, вырабатываемый в последние дни беременности и в первые дни после родов. [Wiki]",У коровы после родов бывает молозиво.
495,СМЕТАНА,SOUR CREAM,гӀелиссу,ʕelisːu,,гӀелиссул,гӀелиссубади (разные),n,,254,0,0,"Кисломолочный продукт из сливок и закваски; сливки, подвергшиеся брожению.",1. Я поел хлеб со сметаной. 2. Сметану делают из сливок.
496,СЛИВОЧНОЕ МАСЛО,BUTTER,щарил лӀорлӀи,šːaril ʟоrʟi,,щарил лӀорлӀилъил,щарилӀе лӀорлӀибади (сорта),n,,253,0,0,"Твёрдое, жирное вещество, производимое сбиванием молочных сливок. (Concepticon)",Масло взбивают из молока.
497,ВИНО,WINE,чагъир,čaʁir,,чагъирал,чагъирди,n,,0,0,0,"Алкогольный напиток, производимый в результате брожения виноградного сока.",Вино делают из винограда.
498,ХМЕЛЬНОЙ НАПИТОК,FERMENTED DRINK,чӀагӀа,čʼaʕa,,чӀагӀал,-,n,,262,0,0,Традиционный зерновой алкогольный напиток (своего рода домашнее пиво).,Из толокна делают бузу.
499,БРОДИТЬ (О ТЕСТЕ),FERMENT (OF DOUGH),чӀчӀаледу,čʼːardegu,чӀчӀарда эгу (чӀчӀардегу),чӀчӀали,чӀчӀалиби,v,,52,0,0,"Подвергаться процессу, в результате которого выделяются газы, кислоты и алкоголь. В быту, как правило, бродит либо тесто, либо алкоголь. Из-за универсальности дрожжевого теста лучше использовать глагол для него, однако, как правило, тот же глагол применяется и к алкогольным напиткам.",1. От дрожжей тесто забродило. 2. Буза забродила.
500,СВЕРТЫВАТЬСЯ (О МОЛОКЕ),"CURDLE (INTR, OF MILK)",бетитеду,betitidegu,бетитида эгу (бетитидегу),бетити,бетитиби,v,"бетити, ретити",53,0,0,(О молоке) Переходить из жидкого состояния в твёрдое под действием температуры или специальных химических веществ.,"1. В тёплом месте молоко свернулось. 2. Чтобы молоко свернулось, в него кладут сычуг."
501,ЯЙЦО,EGG,гьану,hanu,,гьанул,гьанаби,n,,260,39,23,"Яйцо (оплодотворённое или нет) домашних птиц, чаще всего кур, рассматриваемое в качестве еды. (CoBL) ‘Снести яйцо’ может быть синкретически выражено отдельным глаголом, что не подходит как элемент списка. (GLD)","1. Птицы несут яйца, а звери нет  2. Он взял в руку яйцо.  3. Ты ешь яйца?"
502,ЖЕЛТОК,EGG YOLK,"гӀачуб гьану, гьеруб гьану","ʕačub hanu, herub hanu",,"гӀачуб гьанул, гьеруб гьанул","гӀачуре гьанабал, гьеруре гьанабал",n,,0,0,0,"Жёлтая, сферичекая часть яйца, окружённая белком, служащая питанием для растущего птенца. (Concepticon)",1. Дай детям желток. 2. Яйцо состоит из желтка и белка.
503,НАДЕВАТЬ ПЛАТЬЕ,PUT ON (DRESS),башдеду,bašdidegu,башдида эгу (башдидегу),башди,башда,v,"бащди, ращди",143,0,0,"Надевать одежду, закрывающую верхнюю часть тела (рубашку, платье).",1. Я надел рубашку. 2. Она надела платье.
504,НАДЕВАТЬ ШТАНЫ,PUT ON (TROUSERS),башдеду,bašdidegu,башдида эгу (башдидегу),башди,башда,v,"бащди, ращди",144,0,0,Надевать одежду на ноги.,Я надел штаны.
505,НАДЕВАТЬ ШАПКУ,PUT ON (HAT),къапа билъеду,qʼapa biɬidegu,къапа билъида эгу (къапа билъидегу),къапа билъи,къапа билъа,v,"билъа, рилъа",145,0,0,Надевать головной убор.,Я надел на голову папаху.
506,СНИМАТЬ ПЛАТЬЕ,REMOVE (DRESS),горди бухъеду,gоrdi buqidegu,горди бухъида эгу (горди бухъидегу),горди бухъи,горди бухъа,v,"бухъи, рухъи",146,0,0,"Снимать одежду, закрывающую верхнюю часть тела (рубашку, платье).",1. Я снял рубашку. 2. Она сняла платье.
507,СНИМАТЬ ШТАНЫ,REMOVE (TROUSERS),шалпар бухъеду,šalpar buqidegu,шалпар бухъида эгу (шалпар бухъидегу),шалпар бухъи,шалпар бухъа,v,"вухъа, йихъа, бухъа, бухъа, рухъа",147,0,0,Снимать одежду с ног.,Я снял штаны.
508,СНИМАТЬ ШАПКУ,REMOVE (HAT),къапа бухъеду,qʼapa buqidegu,къапа бухъида эгу (къапа бухъидегу),къапа бухъи,къапа бухъа,v,"вухъа, йихъа, бухъа, бухъа, рухъа",148,0,0,Снимать головной убор,Я снял шапку.
509,ОДЕЖДА,CLOTHES,жила,žila,,жилал,-,n,,0,0,0,"Любые предметы, предназначенные для ношения на теле человека. (Concepticon)","1. Люди носят одежду, животные — нет. 2. У бедных плохая одежда."
510,"ТКАНЬ, СУКНО",FABRIC,ххан,χːan,,хханлъил,хханди,n,,0,0,0,"Тканая материя, используемая как материал для одежды.",Одежду делают из ткани.
510,"ТКАНЬ, СУКНО",FABRIC,ххан,χːam,,ххамил,ххамди,n,,0,0,0,"Тканая материя, используемая как материал для одежды.",Одежду делают из ткани.
511,ПРЯСТЬ,SPIN,дургъуледу,durʁuledegu,дургъуледа эгу (дургъуледегу),дургъули,дургъула,v,,126,0,0,"Делать одежду, вытягивая, изгибая и скручивая волокна ткани. (Concepticon)",Патимат спряла всю шерсть.
512,ВЕРЕТЕНО,SPINDLE,мингва,mingʷa,,мингвал,мингвабади,n,,310,0,0,"Палочка, используемая для того, чтобы закручивать волокна в нить. (Concepticon)",Шерсть наматывают на веретено.
513,ТКАЦКИЙ СТАНОК,LOOM,нижабади,nižabadi,,нижабадал (род. мн.),-,n,,311,0,0,"Традиционный станок там, где он использовался и где его имя известно.",
514,ШИТЬ,SEW,къинеду,qʼindegu,къинда эгу (къиндегу),къини,къина,v,,128,139,0,"Самый общий глагол для действия, состоящего в многократном пропускании нити сквозь ткань или материал с использованием иголки для того, чтобы соединить две или более части. (CoBL)",1. Пришей рукав к рубашке. 2. Зашей мешок толстой нитью. 3. Он сшил два куска ткани (CoBL).
515,КРОИТЬ,CUT OUT (CLOTH),белътеду,-eɬtudegu,белътуда эгу (белътудегу),белъту,белътва,v,мн.ч. - релъту,129,0,0,Вырезать часть ткани для изготовления одежды.,Она скроила куски полотна и сшила из них платье.
516,ИГЛА,NEEDLE,бежун,bežun,,бежунал,бежунди,n,,302,0,0,"Тонкий, острый инструмент, используемый для шитья.",Продень нитку в иголку.
517,СПИЦА,KNITTING NEEDLE,сасу,sasu,,сасул,сасубади,n,,303,0,0,"Длинная, не острая иголка, используемая для вязания.",Спицами вяжут шерстяную одежду.
518,ШИЛО,AWL,гьими,himi,,гьимил,гьимибади,n,,301,0,0,Острый инструмент для создания отверстий в ткани и коже. (Concepticon),Он проткнул кожу шилом.
519,НИТКА,THREAD,кору,kоru,,корул,кораби,n,,307,0,0,"Длинный, тонкий и гибкий кусок материала, как правило круглого сечения, используемый для шиться и пряжи. (Concepticon, изм.)",1. Ткань делают из ниток. 2. Продень нитку в иголку.
520,МОТОК НИТОК,SKEIN,къотӀулу,qʼоtʼulu,,къотӀулул,къотӀулди,n,,308,0,0,"Множество ниток, смотанных вместе в шар.",Он смотал нитки в моток.
521,НАПЕРСТОК,THIMBLE,цудалъил,cudaɬil,,цудалъиллъил,цудалъилди,n,,304,0,0,"Инструмент, надеваемый на палец, чтобы не уколоться во время вязания или шитья.","Чтобы не уколоться, надевают напёрсток."
522,ГРЕБЕНЬ ДЛЯ ШЕРСТИ,WOOL COMB,гьакьу,haʟʼu,,гьакьул,"гьакьубади, гьакьаби",n,,309,0,0,"Гребень, которым расчёсывают шерсть.",Шерсть расчёсывают гребнем. - Мигьи хъундак1а гьакьук1ин.
523,"ТУЛУП, ШУБА",FUR COAT,хъабарча,qabarča,,хъабарчул,хъабарчади,n,,267,0,0,Большая шуба с длинными рукавами.,Зимой надевают тулуп.
523,"ТУЛУП, ШУБА",FUR COAT,кӀячи,kʼʲači,,кӀячил,кӀячаби,n,,267,0,0,Большая шуба с длинными рукавами.,Зимой надевают тулуп.
524,БУРКА,SHEPHERD’S COAT,буртина,burtina,,буртинал,буртинди,n,,266,0,0,"Войлочный плащ, который используют пастухи и чабаны.",Чабан надел бурку.
525,ПЛАТЬЕ ЖЕНСКОЕ,WOMAN'S DRESS,хъабалу,qabalu,,хъабалул,хъабалуди,n,,0,0,0,"Женская одежда, сочетающая юбку и верхнюю часть в одном предмете. (Concepticon)","1. Женщины носят платья, мужчины — рубашки. 2. С платьем штаны не носят."
525,ПЛАТЬЕ ЖЕНСКОЕ,WOMAN'S DRESS,горди,gоrdi,,гордил,гордибади,n,,0,0,0,"Женская одежда, сочетающая юбку и верхнюю часть в одном предмете. (Concepticon)","1. Женщины носят платья, мужчины — рубашки. 2. С платьем штаны не носят."
526,РУБАШКА,SHIRT,горди,gоrdi,,гордил,гордибади,n,,264,0,0,"Предмет одежды, который носят на верхней части тела. Имеет длинные рукава, покрывающие руки, и пуговицы. (Concepticon, изм.)","1. Женщины носят платья, мужчины — рубашки. 2. Одежда мужчины — рубашка и штаны."
527,РУКАВ,SLEEVE,коххил,kоχːil,,коххилал,коххилди,n,,277,0,0,"Часть предмета одежды, покрывающая руку. (Concepticon)",У рубашки два рукава.
528,ШТАНЫ,TROUSERS,шалпар,šalpar,,шалпарул,шалпарди,n,,265,0,0,"Предмет одежды, который носят на нижней части тела. Закрывает обе ноги по отдельности, отдельными штанинами. (Concepticon)","1. Заправь рубашку в брюки. 2. На теле носят рубашку, на ногах — штаны."
529,НОСОК,SOCK,щата,šːata,,щатил,щатади,n,,279,0,0,"Мягкий предмет одежды, который носят на ступне и нижней части голени, под обувью. (Concepticon, изм.)",Под обувь надевают носки.
530,"ОБУВЬ, БОТИНОК",SHOE,хьита,xita,,хьитул,хьитаби,n,,0,0,0,"Наиболее общее слово для обозначения обуви (т.е. предметы, защищающие ступню, в противовес одежде).","Когда выходишь на улицу, надевай обувь."
531,САПОГ,BOOT,чакмел,čakmel,,чакмелул,чакмелди,n,,280,0,0,"Предмет обуви, закрывающий часть голени. (Concepticon)",По грязи нужно ходить в сапогах.
532,ГОЛЕНИЩЕ,BOOT-TOP,гьанищал,hanišːal,,гьанищаллъил,гьанищалди,n,,281,0,0,"Отдельный предмет, закрывающий голень (если он существует в культуре и для него есть слово).","Когда большой снег, чабаны надевают голенища."
533,ШАПКА,HEADDRESS,къапа,qʼapa,,къапул,къапиби,n,,268,0,0,"Наиболее общее слово для любого головного убора. Как правило, идентично слову для папахи, поэтому считается эквивалентным соответствующему термину из Кибрика-Кодзасова.",Шапка греет голову.
534,РЕМЕНЬ,BELT,рачвал,račʷal,,рачвалул,рачвалди,n,,274,0,0,"Полоска кожи или иного материала, носимая на поясе и поддерживающая брюки. Отделять от «ремешка», используемого в различных хозяйственных функциях.",В брюки вдевают ремень.
535,РЕМЕШОК,STRAP,рачвал,račʷal,,рачвалул,рачвалди,n,,273,0,0,"Маленькая полоска кожи или ткани, используемая в различных хозяйственных функциях, если для неё есть отдельное слово, отличное от 534 РЕМЕНЬ.","маленький ремень - мук1уб рачвал, мук1ух1убги рачвалул да"
536,РУКАВИЦА,MITTEN,кортӀаххил,kоrtʼaχːil,,кортӀаххиллъил,кортӀаххилди,n,,278,0,0,"Предмет одежды, надеваемый на кисти рук, покрывающий все пальцы вместе (не по отдельности) и доходящий как минимум до запястья.",Рукавицы греют руки.
537,ПЛАТОК ЖЕНСКИЙ,HEADSCARF,кӀази,kʼazi,,кӀазилул,кӀазаби,n,,269,0,0,"Кусок ткани, закрывающий волосы женщины. Обычно имеется несколько терминов для разных видов платков. Поскольку набор этих терминов и их дистрибуция культурно обусловлены, необходимо выбирать наименее маркированный термин для платка как женского головного убора в противовес шапке у мужчин.","1. Когда холодно, женщины надевают платок. 2. Мужчины носят шапки, женщины носят платки."
538,ЧУХТА,CHUKHTA,чоххду,čоχːdu,,чоххдул,"чоххдубади, чоххдаби",n,,270,0,0,"Нижний женский платок, надеваемый на голову ниже основного платка большего размера.",
539,КАРМАН,POCKET,чанта,čanta,,чантил,чантиби,n,рельа чантини эгу - рука в кармане,0,0,0,"Ёмкость, нашитая на предмет одежды и служащая для хранения предметов; как правило, достаточно объёмная для того, чтобы поместить в неё хотя бы одну руку. (Concepticon)",1. В штанах бывают карманы. 2. Вынь руки из карманов.
